"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"1";"login";;"2019-10-15 14:41:05";"usuario100"
"2";"login";;"2019-10-15 14:41:05";"usuario102"
"3";"login";;"2019-10-15 14:41:14";"usuario104"
"4";"login";;"2019-10-15 14:41:23";"usuario78"
"5";"login";;"2019-10-15 14:41:26";"usuario103"
"6";"login";;"2019-10-15 14:41:34";"usuario77"
"7";"login";;"2019-10-15 14:41:35";"usuario86"
"8";"login";;"2019-10-15 14:41:39";"usuario101"
"9";"login";;"2019-10-15 14:41:41";"usuario80"
"10";"login";;"2019-10-15 14:42:07";"usuario57"
"11";"login";;"2019-10-15 14:42:11";"usuario83"
"12";"login";;"2019-10-15 14:42:13";"usuario50"
"13";"login";;"2019-10-15 14:42:15";"usuario8"
"14";"login";;"2019-10-15 14:42:22";"usuario82"
"15";"login";;"2019-10-15 14:42:22";"usuario105"
"17";"login";;"2019-10-15 14:42:41";"usuario10"
"18";"login";;"2019-10-15 14:42:44";"usuario85"
"19";"login";;"2019-10-15 14:42:49";"usuario92"
"20";"login";;"2019-10-15 14:43:06";"usuario74"
"21";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:43:13";"usuario77"
"22";"click_entrar_cancelado";"{""id_desafio"":1}";"2019-10-15 14:43:21";"usuario77"
"23";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:32";"usuario82"
"24";"click_entrar_cancelado";"{""id_desafio"":4}";"2019-10-15 14:43:35";"usuario82"
"26";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:39";"usuario100"
"28";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:41";"usuario50"
"29";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:41";"usuario100"
"30";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:42";"usuario104"
"31";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:42";"usuario50"
"32";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:43";"usuario103"
"33";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:44";"usuario104"
"34";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:46";"usuario83"
"35";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:46";"usuario83"
"36";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:43:46";"usuario57"
"37";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 14:43:47";"usuario57"
"38";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:49";"usuario103"
"39";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:43:49";"usuario105"
"40";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 14:43:49";"usuario105"
"41";"login";;"2019-10-15 14:43:51";"usuario84"
"42";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:53";"usuario102"
"43";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:43:56";"usuario102"
"44";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:43:59";"usuario84"
"46";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:44:03";"usuario83"
"47";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:03";"usuario84"
"49";"login";;"2019-10-15 14:44:04";"usuario91"
"50";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:44:04";"usuario100"
"51";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:44:04";"usuario50"
"52";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:05";"usuario83"
"53";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:06";"usuario50"
"54";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:07";"usuario100"
"55";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:44:07";"usuario92"
"56";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:44:14";"usuario77"
"57";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 14:44:17";"usuario77"
"58";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-15 14:44:23";"usuario77"
"59";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:44:24";"usuario85"
"60";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 14:44:26";"usuario85"
"61";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 14:44:26";"usuario77"
"62";"login";;"2019-10-15 14:44:31";"usuario90"
"63";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:44:37";"usuario104"
"64";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:38";"usuario104"
"70";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:44:46";"usuario91"
"71";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:44:49";"usuario82"
"72";"login";;"2019-10-15 14:44:49";"usuario81"
"75";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:44:55";"usuario90"
"77";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:44:59";"usuario90"
"78";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:45:02";"usuario78"
"79";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:45:04";"usuario78"
"81";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:45:14";"usuario90"
"82";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:45:15";"usuario90"
"83";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-15 14:45:27";"usuario57"
"85";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 14:46:01";"usuario77"
"86";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""Cura\nEnfermedad\nETS\nMuerte\nSangre"",""tipo"":""text""}}";"2019-10-15 14:46:01";"usuario77"
"87";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 14:46:01";"usuario77"
"89";"click_enviar_pretest_cancelado";;"2019-10-15 14:46:08";"usuario77"
"93";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 14:46:17";"usuario77"
"94";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":2,""respuesta"":""Cura\nETS\nMuerte\nSangre\nEnfermedad"",""tipo"":""text""}}";"2019-10-15 14:46:17";"usuario77"
"95";"click_enviar_pretest";"{""id_desafio"":1,""dato"":{""id_pretest"":1,""respuesta"":""2"",""tipo"":""checkbox""}}";"2019-10-15 14:46:17";"usuario77"
"96";"click_enviar_pretest_confirmado";;"2019-10-15 14:46:18";"usuario77"
"97";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-15 14:46:18";"usuario77"
"98";"paso_tour";"{""id_desafio"":1,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-15 14:46:18";"usuario77"
"101";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:46:29";"usuario10"
"102";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:30";"usuario91"
"103";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:46:30";"usuario102"
"104";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:32";"usuario102"
"105";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:32";"usuario10"
"109";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:46:37";"usuario103"
"111";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:39";"usuario103"
"112";"cerrar_tour";"{""id_desafio"":1}";"2019-10-15 14:46:40";"usuario77"
"113";"click_entrar";"{""id_desafio"":1}";"2019-10-15 14:46:57";"usuario81"
"114";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:46:57";"usuario10"
"115";"click_iniciar_desafio";"{""id_desafio"":1}";"2019-10-15 14:46:57";"usuario105"
"116";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 14:46:57";"usuario105"
"117";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-15 14:46:58";"usuario81"
"118";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:59";"usuario82"
"119";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:46:59";"usuario10"
"120";"pagination";"{""id_desafio"":1,""data"":{""pagina"":1}}";"2019-10-15 14:47:00";"usuario77"
"121";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-15 14:47:00";"usuario78"
"122";"click_iniciar_desafio_confirmado";"{""id_desafio"":1}";"2019-10-15 14:47:01";"usuario57"
"123";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-15 14:47:02";"usuario78"
"124";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":1,""respuesta"":""3"",""tipo"":""checkbox""}}";"2019-10-15 14:47:03";"usuario90"
"125";"click_enviar_pretest";"{""id_desafio"":4,""dato"":{""id_pretest"":2,""respuesta"":""oscuridad\nfoza\nmarianas\nprofundidad"",""tipo"":""text""}}";"2019-10-15 14:47:03";"usuario90"
"126";"click_enviar_pretest_confirmado";;"2019-10-15 14:47:04";"usuario90"
"127";"pagination";"{""id_desafio"":4,""data"":{""pagina"":1}}";"2019-10-15 14:47:04";"usuario90"
"128";"paso_tour";"{""id_desafio"":4,""data"":{""seccion"":""titulo_desafio""}}";"2019-10-15 14:47:05";"usuario90"
"129";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:47:05";"usuario74"
"130";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-15 14:47:06";"usuario74"
"131";"click_entrar";"{""id_desafio"":4}";"2019-10-15 14:47:07";"usuario80"
