"id_number";"log_type";"data";"server_datetime";"FK_USUARIO_nickname"
"1";"pagination";"{""id_desafio"":2,""data"":{""pagina"":1}}";"2019-10-11 17:14:43";"usuario1"
"2";"login";;"2019-10-11 17:16:22";"Indu13"
"3";"login";;"2019-10-11 17:16:25";"Indu14"
"4";"login";;"2019-10-11 17:16:31";"Indu12"
"5";"login";;"2019-10-11 17:16:34";"Indu7"
"6";"login";;"2019-10-11 17:16:35";"indu3"
"7";"login";;"2019-10-11 17:16:38";"indu11"
"8";"login";;"2019-10-11 17:16:49";"indu6"
"9";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:17:02";"indu6"
"10";"click_entrar_cancelado";"{""id_desafio"":1}";"2019-10-11 17:17:06";"indu6"
"11";"login";;"2019-10-11 17:17:07";"Indu4"
"12";"pagination";"{""id_desafio"":2,""data"":{""pagina"":1}}";"2019-10-11 17:17:26";"usuario1"
"13";"click_entrar";"{""id_desafio"":2}";"2019-10-11 17:17:52";"Indu4"
"14";"click_entrar_confirmado";"{""id_desafio"":2}";"2019-10-11 17:17:56";"Indu4"
"15";"login";;"2019-10-11 17:18:02";"usuario1"
"16";"click_entrar";"{""id_desafio"":4}";"2019-10-11 17:18:29";"Indu12"
"17";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:18:30";"Indu7"
"18";"click_entrar_cancelado";"{""id_desafio"":4}";"2019-10-11 17:18:35";"Indu12"
"19";"click_entrar_cancelado";"{""id_desafio"":1}";"2019-10-11 17:18:35";"Indu7"
"20";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:18:52";"Indu13"
"21";"click_entrar";"{""id_desafio"":1}";"2019-10-11 17:18:52";"indu6"
"22";"click_entrar_confirmado";"{""id_desafio"":1}";"2019-10-11 17:18:54";"indu6"
"23";"click_entrar";"{""id_desafio"":4}";"2019-10-11 17:18:56";"Indu7"
"24";"click_entrar";"{""id_desafio"":4}";"2019-10-11 17:18:57";"Indu14"
"25";"click_entrar_cancelado";"{""id_desafio"":1}";"2019-10-11 17:18:57";"Indu13"
"26";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-11 17:18:58";"Indu7"
"27";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-11 17:18:58";"Indu14"
"28";"click_entrar";"{""id_desafio"":4}";"2019-10-11 17:18:58";"Indu13"
"29";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-11 17:19:00";"Indu13"
"30";"click_entrar";"{""id_desafio"":4}";"2019-10-11 17:19:00";"Indu12"
"31";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-11 17:19:02";"Indu13"
"32";"click_entrar_confirmado";"{""id_desafio"":4}";"2019-10-11 17:19:02";"Indu12"
"33";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-11 17:19:02";"Indu7"
"34";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:19:03";"Indu13"
"35";"click_iniciar_desafio";"{""id_desafio"":4}";"2019-10-11 17:19:05";"Indu14"
"36";"click_iniciar_desafio_confirmado";"{""id_desafio"":4}";"2019-10-11 17:19:05";"Indu7"
